entrezid	Ensembl_Gene_ID	Gene_Symbol	log2FC	p_value	adj_pvalue
79180	ENSG00000142634	EFHD2	0.2610627173	0.0002618658	0.0053205528
83874	ENSG00000099992	TBC1D10A	0.5285815173	6.30e-05	0.0015191461
84709	ENSG00000137463	MGARP	-0.655669516	4.49e-13	3.34e-11
23635	ENSG00000145687	SSBP2	-0.5290340254	4.10e-07	1.58e-05
6469	ENSG00000164690	SHH	3.1884473036	0.0002454097	0.0050148936
9209	ENSG00000093167	LRRFIP2	0.3444233845	2.24e-06	7.61e-05
124935	ENSG00000167703	SLC43A2	0.3584172935	3.13e-06	0.0001030537
100505622	ENSG00000254887	CTC-378H22.1	2.2523664363	0.0002903134	0.0058026368
80320	ENSG00000189120	SP6	1.3446695612	2.86e-06	9.54e-05
3553	ENSG00000125538	IL1B	3.7285148664	0.0002268025	0.00468559
8556	ENSG00000079335	CDC14A	1.1143574789	3.13e-21	3.97e-19
27233	ENSG00000198075	SULT1C4	1.1655368468	1.55e-11	1.01e-09
92241	ENSG00000198771	RCSD1	1.7087197904	2.92e-05	0.0007652531
81794	ENSG00000142303	ADAMTS10	0.6901654729	9.78e-06	0.0002889517
NA	ENSG00000259498	RP11-244F12.3	0.8853000444	4.59e-08	2.04e-06
1948	ENSG00000125266	EFNB2	-0.6951967603	4.07e-16	3.78e-14
274	ENSG00000136717	BIN1	0.336539858	4.46e-05	0.0011172631
2123	ENSG00000126860	EVI2A	-1.1661961545	1.56e-06	5.45e-05
10468	ENSG00000134363	FST	-0.4995990546	4.75e-11	2.99e-09
NA	ENSG00000262251	RP11-199F11.2	0.6976388341	8.18e-05	0.0018999056
55222	ENSG00000172731	LRRC20	-0.5126731389	8.60e-08	3.63e-06
NA	ENSG00000259712	CTD-2184D3.5	1.6622383226	0.0001798441	0.0038216881
339479	ENSG00000162670	BRINP3	3.0175064287	0.000350508	0.0068347996
114907	ENSG00000156804	FBXO32	0.4513431107	6.99e-07	2.59e-05
222166	ENSG00000180354	C7orf41	0.4924834135	3.73e-07	1.44e-05
80312	ENSG00000138336	TET1	-0.897065221	4.98e-07	1.88e-05
1846	ENSG00000120875	DUSP4	-0.6588236575	1.75e-10	1.04e-08
1140	ENSG00000170175	CHRNB1	0.7542168559	2.82e-07	1.10e-05
29775	ENSG00000100065	CARD10	-0.4099201759	2.21e-07	8.73e-06
23568	ENSG00000102931	ARL2BP	0.225576976	0.0032590905	0.0426887432
2115	ENSG00000006468	ETV1	-0.6745202509	4.43e-08	1.98e-06
91607	ENSG00000172716	SLFN11	0.5024314963	9.06e-11	5.51e-09
